case,activity,timestamp,resource,department,group,channel,enddate,responsible,org_group,activity_id
case-5560,Confirmation of receipt,2011/02/01 16:17:34,Resource05,General,,Internet,2011-02-24 15:16:49.882000+01:00,Resource05,EMPTY,1
case-5560,T06 Determine necessity of stop advice,2011/02/01 16:18:37,Resource05,General,,Internet,2011-02-24 15:16:49.882000+01:00,Resource05,Group 1,4
case-5560,T02 Check confirmation of receipt,2011/02/01 16:19:02,Resource05,General,,Internet,2011-02-24 15:16:49.882000+01:00,Resource05,Group 4,2
case-5560,T04 Determine confirmation of receipt,2011/02/01 16:21:14,Resource05,General,,Internet,2011-02-24 15:16:49.882000+01:00,Resource05,Group 3,6
case-5560,T05 Print and send confirmation of receipt,2011/02/01 16:21:28,Resource05,General,,Internet,2011-02-24 15:16:49.882000+01:00,Resource05,Group 2,7
case-5560,T08 Draft and send request for advice,2011/02/02 08:46:45,Resource05,General,,Internet,2011-02-24 15:16:49.882000+01:00,Resource05,Group 1,17
case-5560,T09-4 Process or receive external advice from party 4,2011/02/02 09:13:18,Resource05,General,,Internet,2011-02-24 15:16:49.882000+01:00,Resource05,Group 1,20
case-5560,T06 Determine necessity of stop advice,2011/02/02 09:13:51,Resource05,General,,Internet,2011-02-24 15:16:49.882000+01:00,Resource05,Group 1,4
case-5560,T07-1 Draft intern advice aspect 1,2011/02/02 09:17:23,Resource05,General,,Internet,2011-02-24 15:16:49.882000+01:00,Resource05,Group 13,16
case-5560,T06 Determine necessity of stop advice,2011/02/02 09:17:39,Resource05,General,,Internet,2011-02-24 15:16:49.882000+01:00,Resource05,Group 1,4
case-5560,T10 Determine necessity to stop indication,2011/02/02 09:18:02,Resource05,General,,Internet,2011-02-24 15:16:49.882000+01:00,Resource05,Group 1,5
case-3984,Confirmation of receipt,2010/10/25 15:57:54,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,1
case-3984,T06 Determine necessity of stop advice,2010/10/25 16:13:31,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,4
case-3984,T07-5 Draft intern advice aspect 5,2010/10/26 09:38:40,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,19
case-3984,T07-1 Draft intern advice aspect 1,2010/10/26 09:39:17,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,EMPTY,16
case-3984,T08 Draft and send request for advice,2010/10/26 09:41:04,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,17
case-3984,T09-1 Process or receive external advice from party 1,2010/10/26 09:42:16,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,18
case-3984,T07-3 Draft intern advice hold for aspect 3,2010/11/02 15:47:29,Resource35,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 14,21
case-3984,T07-4 Draft internal advice to hold for type 4,2010/11/04 09:07:41,Resource32,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 12,22
case-3984,T07-2 Draft intern advice aspect 2,2010/11/04 09:12:24,Resource32,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,EMPTY,23
case-3984,T02 Check confirmation of receipt,2010/11/04 09:34:05,Resource19,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,EMPTY,2
case-3984,T04 Determine confirmation of receipt,2010/11/04 09:37:44,Resource19,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 3,6
case-3984,T05 Print and send confirmation of receipt,2010/11/04 13:41:14,Resource27,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,EMPTY,7
case-3984,T06 Determine necessity of stop advice,2010/11/04 13:56:19,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,4
case-3984,T10 Determine necessity to stop indication,2010/11/04 13:56:48,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,5
case-9532,Confirmation of receipt,2011/10/25 09:12:28,Resource25,General,Group 6,Internet,2011-10-25 14:14:37.632000+02:00,Resource37,EMPTY,1
case-9532,T02 Check confirmation of receipt,2011/10/25 09:12:58,Resource25,General,Group 6,Internet,2011-10-25 14:14:37.632000+02:00,Resource37,Group 4,2
case-9532,T04 Determine confirmation of receipt,2011/10/25 09:13:21,Resource25,General,Group 6,Internet,2011-10-25 14:14:37.632000+02:00,Resource37,Group 3,6
case-9532,T05 Print and send confirmation of receipt,2011/10/25 09:13:40,Resource25,General,Group 6,Internet,2011-10-25 14:14:37.632000+02:00,Resource37,Group 2,7
case-9532,T06 Determine necessity of stop advice,2011/10/25 09:14:07,Resource25,General,Group 6,Internet,2011-10-25 14:14:37.632000+02:00,Resource37,Group 1,4
case-9532,T08 Draft and send request for advice,2011/10/25 09:14:42,Resource25,General,Group 6,Internet,2011-10-25 14:14:37.632000+02:00,Resource37,Group 1,17
case-9532,T09-3 Process or receive external advice from party 3,2011/10/25 09:15:24,Resource25,General,Group 6,Internet,2011-10-25 14:14:37.632000+02:00,Resource37,Group 1,24
case-9532,T06 Determine necessity of stop advice,2011/10/25 09:15:51,Resource25,General,Group 6,Internet,2011-10-25 14:14:37.632000+02:00,Resource37,Group 1,4
case-9532,T10 Determine necessity to stop indication,2011/10/25 09:16:20,Resource25,General,Group 6,Internet,2011-10-25 14:14:37.632000+02:00,Resource37,Group 1,5
case-9631,Confirmation of receipt,2011/09/26 14:57:41,Resource03,General,Group 8,Internet,2011-10-10 15:07:48.586000+02:00,Resource11,EMPTY,1
case-9631,T02 Check confirmation of receipt,2011/09/26 14:58:01,Resource03,General,Group 8,Internet,2011-10-10 15:07:48.586000+02:00,Resource11,Group 4,2
case-9631,T04 Determine confirmation of receipt,2011/09/26 15:01:45,Resource03,General,Group 8,Internet,2011-10-10 15:07:48.586000+02:00,Resource11,Group 3,6
case-9631,T05 Print and send confirmation of receipt,2011/09/26 15:02:01,Resource03,General,Group 8,Internet,2011-10-10 15:07:48.586000+02:00,Resource11,Group 2,7
case-9631,T06 Determine necessity of stop advice,2011/09/26 15:02:25,Resource03,General,Group 8,Internet,2011-10-10 15:07:48.586000+02:00,Resource11,EMPTY,4
case-9631,T10 Determine necessity to stop indication,2011/09/26 15:02:58,Resource03,General,Group 8,Internet,2011-10-10 15:07:48.586000+02:00,Resource11,Group 1,5
case-9631,T16 Report reasons to hold request,2011/09/29 13:51:57,Resource01,General,Group 8,Internet,2011-10-10 15:07:48.586000+02:00,Resource11,Group 1,8
case-9631,T17 Check report Y to stop indication,2011/09/29 13:52:16,Resource01,General,Group 8,Internet,2011-10-10 15:07:48.586000+02:00,Resource11,Group 4,9
case-9631,T19 Determine report Y to stop indication,2011/09/29 13:52:34,Resource01,General,Group 8,Internet,2011-10-10 15:07:48.586000+02:00,Resource11,Group 3,10
case-9631,T20 Print report Y to stop indication,2011/09/29 13:52:52,Resource01,General,Group 8,Internet,2011-10-10 15:07:48.586000+02:00,Resource11,Group 2,11
case-3818,Confirmation of receipt,2010/10/18 09:24:27,Resource12,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,Group 1,1
case-3818,T06 Determine necessity of stop advice,2010/10/18 10:45:17,Resource12,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,Group 1,4
case-3818,T02 Check confirmation of receipt,2010/10/18 11:25:15,Resource26,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,EMPTY,2
case-3818,T03 Adjust confirmation of receipt,2010/10/18 12:27:27,Resource12,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,Group 1,3
case-3818,T02 Check confirmation of receipt,2010/10/20 12:18:19,Resource24,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,EMPTY,2
case-3818,T07-5 Draft intern advice aspect 5,2010/10/21 08:14:04,Resource12,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,Group 1,19
case-3818,T06 Determine necessity of stop advice,2010/10/21 08:36:37,Resource12,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,Group 1,4
case-3818,T10 Determine necessity to stop indication,2010/10/21 08:37:49,Resource12,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,Group 1,5
case-3818,T03 Adjust confirmation of receipt,2010/10/21 09:23:05,Resource12,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,Group 1,3
case-3818,T02 Check confirmation of receipt,2010/10/21 11:40:14,Resource24,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,EMPTY,2
case-3818,T03 Adjust confirmation of receipt,2010/10/21 11:47:50,Resource12,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,Group 1,3
case-3818,T02 Check confirmation of receipt,2010/10/21 11:50:06,Resource24,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,EMPTY,2
case-3818,T04 Determine confirmation of receipt,2010/10/22 13:21:52,Resource10,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,Group 3,6
case-3818,T05 Print and send confirmation of receipt,2010/10/25 11:52:01,Resource20,General,,Internet,2011-03-02 08:30:11.985000+01:00,Resource12,Group 2,7
case-4518,Confirmation of receipt,2010/12/06 11:09:48,Resource05,General,,Internet,2010-12-13 10:05:15.332000+01:00,Resource05,EMPTY,1
case-4518,T02 Check confirmation of receipt,2010/12/06 11:10:28,Resource05,General,,Internet,2010-12-13 10:05:15.332000+01:00,Resource05,Group 4,2
case-4518,T04 Determine confirmation of receipt,2010/12/06 11:11:12,Resource05,General,,Internet,2010-12-13 10:05:15.332000+01:00,Resource05,Group 3,6
