case,activity,timestamp,resource,department,group,channel,enddate,responsible,org_group,activity_id
case-4188,Confirmation of receipt,2010/11/08 12:44:00,Resource09,General,,Internet,2010-12-22 12:00:45.003000+01:00,Resource09,EMPTY,1
case-4188,T06 Determine necessity of stop advice,2010/11/08 12:46:16,Resource09,General,,Internet,2010-12-22 12:00:45.003000+01:00,Resource09,Group 1,4
case-4188,T08 Draft and send request for advice,2010/11/08 12:46:56,Resource09,General,,Internet,2010-12-22 12:00:45.003000+01:00,Resource09,Group 1,17
case-4188,T09-4 Process or receive external advice from party 4,2010/11/08 12:47:12,Resource09,General,,Internet,2010-12-22 12:00:45.003000+01:00,Resource09,Group 1,20
case-4188,T06 Determine necessity of stop advice,2010/11/08 12:47:34,Resource09,General,,Internet,2010-12-22 12:00:45.003000+01:00,Resource09,Group 1,4
case-4188,T10 Determine necessity to stop indication,2010/11/08 12:49:11,Resource09,General,,Internet,2010-12-22 12:00:45.003000+01:00,Resource09,Group 1,5
case-4188,T02 Check confirmation of receipt,2010/11/09 12:13:20,Resource19,General,,Internet,2010-12-22 12:00:45.003000+01:00,Resource09,EMPTY,2
case-4188,T04 Determine confirmation of receipt,2010/11/12 09:02:49,Resource10,General,,Internet,2010-12-22 12:00:45.003000+01:00,Resource09,Group 3,6
case-4188,T05 Print and send confirmation of receipt,2010/11/16 10:21:50,admin1,General,,Internet,2010-12-22 12:00:45.003000+01:00,Resource09,Group 2,7
case-8989,Confirmation of receipt,2011/08/11 14:25:17,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 1,1
case-8989,T02 Check confirmation of receipt,2011/08/11 14:26:04,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 4,2
case-8989,T04 Determine confirmation of receipt,2011/08/11 14:26:51,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 3,6
case-8989,T05 Print and send confirmation of receipt,2011/08/11 14:27:52,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 2,7
case-8989,T06 Determine necessity of stop advice,2011/08/11 14:33:07,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 1,4
case-8989,T07-3 Draft intern advice hold for aspect 3,2011/08/11 14:35:16,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 14,21
case-8989,T07-2 Draft intern advice aspect 2,2011/08/11 14:45:44,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 15,23
case-8989,T06 Determine necessity of stop advice,2011/08/11 14:46:35,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 1,4
case-8989,T07-2 Draft intern advice aspect 2,2011/08/11 14:47:03,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 15,23
case-8989,T07-3 Draft intern advice hold for aspect 3,2011/08/11 14:47:22,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 14,21
case-8989,T06 Determine necessity of stop advice,2011/08/11 14:47:46,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 1,4
case-8989,T10 Determine necessity to stop indication,2011/08/11 14:48:34,Resource12,General,Group 5,Internet,2011-09-19 16:54:45.917000+02:00,Resource12,Group 1,5
case-9076,Confirmation of receipt,2011/08/15 14:51:34,Resource33,General,Group 11,Internet,2011-10-05 11:01:50.118000+02:00,Resource25,EMPTY,1
case-9076,T02 Check confirmation of receipt,2011/08/15 17:08:35,Resource33,General,Group 11,Internet,2011-10-05 11:01:50.118000+02:00,Resource25,EMPTY,2
case-9076,T06 Determine necessity of stop advice,2011/08/16 08:47:33,Resource33,General,Group 11,Internet,2011-10-05 11:01:50.118000+02:00,Resource25,Group 1,4
case-9076,T04 Determine confirmation of receipt,2011/08/16 08:52:10,Resource33,General,Group 11,Internet,2011-10-05 11:01:50.118000+02:00,Resource25,Group 3,6
case-9076,T05 Print and send confirmation of receipt,2011/08/24 09:30:21,admin1,General,Group 11,Internet,2011-10-05 11:01:50.118000+02:00,Resource25,Group 2,7
case-9076,T07-5 Draft intern advice aspect 5,2011/08/29 11:26:14,Resource33,General,Group 11,Internet,2011-10-05 11:01:50.118000+02:00,Resource25,Group 1,19
case-9076,T08 Draft and send request for advice,2011/08/29 13:16:38,Resource33,General,Group 11,Internet,2011-10-05 11:01:50.118000+02:00,Resource25,Group 1,17
case-9076,T09-3 Process or receive external advice from party 3,2011/10/04 14:15:39,Resource25,General,Group 11,Internet,2011-10-05 11:01:50.118000+02:00,Resource25,Group 1,24
case-9076,T06 Determine necessity of stop advice,2011/10/04 14:16:25,Resource25,General,Group 11,Internet,2011-10-05 11:01:50.118000+02:00,Resource25,Group 1,4
case-9076,T10 Determine necessity to stop indication,2011/10/04 14:16:54,Resource25,General,Group 11,Internet,2011-10-05 11:01:50.118000+02:00,Resource25,Group 1,5
case-4157,Confirmation of receipt,2010/11/30 08:24:42,Resource11,Customer contact,,Internet,2010-12-17 10:21:41.974000+01:00,Resource11,EMPTY,1
case-4157,T06 Determine necessity of stop advice,2010/11/30 08:25:31,Resource11,Customer contact,,Internet,2010-12-17 10:21:41.974000+01:00,Resource11,Group 1,4
case-4157,T06 Determine necessity of stop advice,2010/11/30 08:26:34,Resource11,Customer contact,,Internet,2010-12-17 10:21:41.974000+01:00,Resource11,Group 1,4
case-4157,T06 Determine necessity of stop advice,2010/11/30 08:27:08,Resource11,Customer contact,,Internet,2010-12-17 10:21:41.974000+01:00,Resource11,Group 1,4
case-4157,T07-4 Draft internal advice to hold for type 4,2010/11/30 08:27:59,Resource11,Customer contact,,Internet,2010-12-17 10:21:41.974000+01:00,Resource11,EMPTY,22
case-4157,T06 Determine necessity of stop advice,2010/11/30 08:28:44,Resource11,Customer contact,,Internet,2010-12-17 10:21:41.974000+01:00,Resource11,Group 1,4
case-4157,T10 Determine necessity to stop indication,2010/11/30 08:29:45,Resource11,Customer contact,,Internet,2010-12-17 10:21:41.974000+01:00,Resource11,Group 1,5
case-4157,T02 Check confirmation of receipt,2010/12/08 11:07:58,Resource11,Customer contact,,Internet,2010-12-17 10:21:41.974000+01:00,Resource11,EMPTY,2
case-4157,T04 Determine confirmation of receipt,2010/12/08 11:08:59,Resource11,Customer contact,,Internet,2010-12-17 10:21:41.974000+01:00,Resource11,EMPTY,6
case-4157,T05 Print and send confirmation of receipt,2010/12/10 13:34:40,admin1,Customer contact,,Internet,2010-12-17 10:21:41.974000+01:00,Resource11,Group 2,7
case-3984,Confirmation of receipt,2010/10/25 15:57:54,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,1
case-3984,T06 Determine necessity of stop advice,2010/10/25 16:13:31,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,4
case-3984,T07-5 Draft intern advice aspect 5,2010/10/26 09:38:40,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,19
case-3984,T07-1 Draft intern advice aspect 1,2010/10/26 09:39:17,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,EMPTY,16
case-3984,T08 Draft and send request for advice,2010/10/26 09:41:04,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,17
case-3984,T09-1 Process or receive external advice from party 1,2010/10/26 09:42:16,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,18
case-3984,T07-3 Draft intern advice hold for aspect 3,2010/11/02 15:47:29,Resource35,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 14,21
case-3984,T07-4 Draft internal advice to hold for type 4,2010/11/04 09:07:41,Resource32,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 12,22
case-3984,T07-2 Draft intern advice aspect 2,2010/11/04 09:12:24,Resource32,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,EMPTY,23
case-3984,T02 Check confirmation of receipt,2010/11/04 09:34:05,Resource19,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,EMPTY,2
case-3984,T04 Determine confirmation of receipt,2010/11/04 09:37:44,Resource19,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 3,6
case-3984,T05 Print and send confirmation of receipt,2010/11/04 13:41:14,Resource27,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,EMPTY,7
case-3984,T06 Determine necessity of stop advice,2010/11/04 13:56:19,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,4
case-3984,T10 Determine necessity to stop indication,2010/11/04 13:56:48,Resource09,General,,Internet,2010-12-21 00:00:00.010000+01:00,Resource09,Group 1,5
case-7612,Confirmation of receipt,2011/06/07 14:21:39,Resource09,General,,Internet,2011-10-31 10:00:36.314000+01:00,Resource09,EMPTY,1
case-7612,T06 Determine necessity of stop advice,2011/06/07 14:22:18,Resource09,General,,Internet,2011-10-31 10:00:36.314000+01:00,Resource09,Group 1,4
case-7612,T10 Determine necessity to stop indication,2011/06/07 14:25:16,Resource09,General,,Internet,2011-10-31 10:00:36.314000+01:00,Resource09,Group 1,5
case-7612,T02 Check confirmation of receipt,2011/06/07 14:33:36,Resource09,General,,Internet,2011-10-31 10:00:36.314000+01:00,Resource09,Group 4,2
case-7612,T04 Determine confirmation of receipt,2011/06/07 14:33:59,Resource09,General,,Internet,2011-10-31 10:00:36.314000+01:00,Resource09,Group 3,6
case-7612,T05 Print and send confirmation of receipt,2011/06/07 14:34:11,Resource09,General,,Internet,2011-10-31 10:00:36.314000+01:00,Resource09,Group 2,7
case-7612,T16 Report reasons to hold request,2011/06/07 14:35:38,Resource09,General,,Internet,2011-10-31 10:00:36.314000+01:00,Resource09,Group 1,8
case-7612,T17 Check report Y to stop indication,2011/06/07 14:35:57,Resource09,General,,Internet,2011-10-31 10:00:36.314000+01:00,Resource09,Group 4,9
case-7612,T19 Determine report Y to stop indication,2011/06/07 14:36:15,Resource09,General,,Internet,2011-10-31 10:00:36.314000+01:00,Resource09,Group 3,10
case-7612,T20 Print report Y to stop indication,2011/06/07 14:36:33,Resource09,General,,Internet,2011-10-31 10:00:36.314000+01:00,Resource09,Group 2,11
case-6751,Confirmation of receipt,2011/04/27 08:26:21,Resource05,General,,Internet,2011-05-11 15:38:18.938000+02:00,Resource05,EMPTY,1
case-6751,T02 Check confirmation of receipt,2011/04/27 08:27:35,Resource05,General,,Internet,2011-05-11 15:38:18.938000+02:00,Resource05,Group 4,2
